Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,data_entry_by,upload_ts,notes,ref_date
mozambique,MOZ,1996,GDP per capita (constant LCU),NY.GDP.PCAP.KN,11953.1597491705,admin,2026-04-02 02:44:51.524768,,1996-01-01
Mozambique,MOZ,2020,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,45132727326.9761,bot,2026-04-02 02:44:51.524768,,2020-01-01
Mozambique,MOZ,2015,Imports of goods and services (% of GDP),NE.IMP.GNFS.ZS,66.1889101182498,,2026-04-02 02:44:51.524768,,01/01/2015
Mozambique,MOZ,2015,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,3017336853.64242,,2026-04-02 02:44:51.524768,,2015
Mozambique,MOZ,2022,GNI per capita (constant LCU),NY.GNP.PCAP.KN,,bot,2026-04-02 02:44:51.524768,,Jan 2022
Mozambique,MOZ,2007,GDP per capita (current LCU),NY.GDP.PCAP.CN,13123.6612192947,,2026-04-02 02:44:51.524768,,2007-01-01
Mozambique,MOZ,1982,Net ODA received per capita (current US$),DT.ODA.ODAT.PC.ZS,17.2956355820087,,2026-04-02 02:44:51.524768,,1982-01-01
Mozambique,MOZ,2004,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,1572105410.20523,bot,2026-04-02 02:44:51.524768,,2004
Mozambique,MOZ,2011,"GNI per capita, PPP (constant 2021 international $)",NY.GNP.PCAP.PP.KD,1202.21948250104,admin,2026-04-02 02:44:51.524768,,01/01/2011
Mozambique,MOZ,1986,Gross value added at basic prices (GVA) (constant LCU),NY.GDP.FCST.KN,128283525522.0,,2026-04-02 02:44:51.524768,,01/01/1986
Mozambique,MOZ,2009,"Manufacturing, value added (current US$)",NV.IND.MANF.CD,1303222008.62699,,2026-04-02 02:44:51.524768,,2009
Mozambique,MOZ,2006,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,,,2026-04-02 02:44:51.524768,,Jan 2006
Mozambique,MOZ,2017,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,17.4831119319856,,2026-04-02 02:44:51.524768,,01/01/2017
Mozambique,MOZ,2014,"Transport services (% of service imports, BoP)",BM.GSR.TRAN.ZS,,bot,2026-04-02 02:44:51.524768,,01/01/2014
Mozambique,MOZ,1999,Adjusted net national income (constant 2015 US$),NY.ADJ.NNTY.KD,4062153876.80434,,2026-04-02 02:44:51.524768,,Jan 1999
Mozambique,MOZ,2016,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,2.23421025669456,USER_0,2026-04-02 02:44:51.524768,,2016
Mozambique,MOZ,2019,Adjusted net national income (annual % growth),NY.ADJ.NNTY.KD.ZG,-4.11229316774558,,2026-04-02 02:44:51.524768,,01/01/2019
Mozambique,MOZ,2012,"Adjusted net savings, including particulate emission damage (current US$)",NY.ADJ.SVNG.CD,-297313317.744187,,2026-04-02 02:44:51.524768,,2012
Mozambique,MOZ,2011,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,,bot,2026-04-02 02:44:51.524768,,2011-01-01
Mozambique,MOZ,2006,Price level ratio of PPP conversion factor (GDP) to market exchange rate,PA.NUS.PPPC.RF,0.573014421908643,bot,2026-04-02 02:44:51.524768,,Jan 2006
Mozambique,MOZ,2006,GDP (current LCU),NY.GDP.MKTP.CN,241557230800.0,bot,2026-04-02 02:44:51.524768,,2006
Mozambique,MOZ,1991,Gross national expenditure (current LCU),NE.DAB.TOTL.CN,7381109900.0,,2026-04-02 02:44:51.524768,,1991-01-01
Mozambique,MOZ,2003xI,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,44614.6024768938,USER_2,2026-04-02 02:44:51.524768,,01/01/2003
Mozambique,MOZ,2006,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,108518341.010439,,2026-04-02 02:44:51.524768,,2006
Mozambique,MOZ,2005,"Secondary income, other sectors, payments (BoP, current US$)",BM.TRF.PRVT.CD,77709039.458663,admin,2026-04-02 02:44:51.524768,,Jan 2005
MOZAMBIQUE,MOZ,1994,Imports of goods and services (current US$),NE.IMP.GNFS.CD,1426671417.22535,,2026-04-02 02:44:51.524768,,1994
Mozambique,MOZ,2022,Gross domestic income (constant LCU),NY.GDY.TOTL.KN,1105121818567.54,,2026-04-02 02:44:51.524768,,01/01/2022
mozambique,MOZ,2016,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS,0.49668504635364,bot,2026-04-02 02:44:51.524768,,01/01/2016
Mozambique,MOZ,1996,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,13.16342939865,USER_5,2026-04-02 02:44:51.524768,,Jan 1996
Mozambique,MOZ,2018,GDP (current LCU),NY.GDP.MKTP.CN,905940319800.0,,2026-04-02 02:44:51.524768,,01/01/2018
Mozambique,MOZ,1997,Trade (% of GDP),NE.TRD.GNFS.ZS,,,2026-04-02 02:44:51.524768,,Jan 1997
Mozambique,MOZ,2017,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-23.6587140609791,USER_5,2026-04-02 02:44:51.524768,,Jan 2017
Mozambique,MOZ,1995,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0091499667379958,,2026-04-02 02:44:51.524768,,Jan 1995
Mozambique,MOZ,2001,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.528998228055245,,2026-04-02 02:44:51.524768,,01/01/2001
Mozambique,MOZ,1992,"Manufacturing, value added (annual % growth)",NV.IND.MANF.KD.ZG,-7.90694670532534,USER_2,2026-04-02 02:44:51.524768,,Jan 1992
Mozambique,MOZ,1997,"Total debt service (% of exports of goods, services and primary income)",DT.TDS.DECT.EX.ZS,1916.99698934125,USER_4,2026-04-02 02:44:51.524768,,01/01/1997
Mozambique,MOZ,1982,Net secondary income (Net current transfers from abroad) (constant LCU),NY.TRF.NCTR.KN,1078295177.0321,bot,2026-04-02 02:44:51.524768,,1982-01-01
Mozambique,MOZ,2010,Exports as a capacity to import (constant LCU),NY.EXP.CAPM.KN,195732474141.523,,2026-04-02 02:44:51.524768,,2010
Mozambique,MOZ,2013,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,27901295071.5242,,2026-04-02 02:44:51.524768,,Jan 2013
Mozambique,MOZ,2018,"Services, value added (current LCU)",NV.SRV.TOTL.CN,356888891800.0,,2026-04-02 02:44:51.524768,,2018
Mozambique,MOZ,1991,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-33.4819655182928,,2026-04-02 02:44:51.524768,,1991-01-01
Mozambique,MOZ,2022,"Households and NPISHs Final consumption expenditure, PPP (constant 2021 international $)",NE.CON.PRVT.PP.KD,34730123541.1096,,2026-04-02 02:44:51.524768,,Jan 2022
Mozambique,MOZ,2010,"Insurance and financial services (% of service imports, BoP)",BM.GSR.INSF.ZS,4.24950193029292,bot,2026-04-02 02:44:51.524768,,2010-01-01
Mozambique,Moz,2019,"Primary income payments (BoP, current US$)",BM.GSR.FCTY.CD,536927428.425252,bot,2026-04-02 02:44:51.524768,,2019-01-01
Mozambique,MZO,2009,"Industry (including construction), value added (current US$)",NV.IND.TOTL.CD,2072651297.50021,bot,2026-04-02 02:44:51.524768,,Jan 2009
